label,message
spam,Win a brand new car! Click here to claim your prize now.
ham,"Hey, are we still meeting for coffee tomorrow?"
spam,Congratulations! You've been selected for a free gift card. Act now!
ham,Can you send me the report by end of the day?
spam,URGENT! Your account has been compromised. Reset your password immediately.
ham,Let's catch up over lunch this weekend.
spam,"You have won $10,000! Reply with your details to claim."
ham,Don't forget about the team meeting at 3 PM.
spam,Exclusive deal just for you! 50% off on all products. Buy now!
ham,Happy Birthday! Hope you have an amazing day!
